"AF,Ext,Ranking,grounded,
"
"<{ A0 },[]>",{A0},{A0=1},{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A3), (A3,A2)]>",{A0},"{A1=0.0, A2=0.4708391221765980976995380196037353, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0), (A2,A3), (A3,A2)]>",{A1},"{A1=1, A2=0.3966027002642897435332424513452045, A3=0.0, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A0), (A3,A2)]>",{A1},"{A1=1, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=0.0}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A3), (A3,A0), (A3,A1)]>",{},"{A1=0.0, A2=0.6769143289112159462191656870579126, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A0,A3), (A3,A0)]>",{},"{A1=0.4316731327573274140390653029005002, A2=0.6984646454461457617291838557022676, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A3), (A3,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.6180327868852459016393442622950820, A0=0.6180327868852459016393442622950820}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A1), (A0,A2), (A3,A2)]>","{A3,A0}","{A1=0.5, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A1), (A3,A0)]>",{A3},"{A1=0.5000064221108308224365229333153192, A2=0.0, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A3,A0)]>",{A3},"{A1=0.0, A2=0.0, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A0), (A3,A1)]>",{A3},"{A1=0.0, A2=0.0, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.0, A3=0.0, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2), (A0,A1)]>",{A0},"{A1=0.5, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A3), (A3,A1)]>",{A0},"{A1=0.0, A2=0.0, A3=0.5, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0), (A3,A2)]>",{A3},"{A1=0.5275080906148867313915857605177993, A2=0.3956386292834890965732087227414330, A3=1, A0=0.5}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A3,A1)]>",{A3},"{A1=0.0, A2=0.0, A3=1, A0=0.6589236550914907874306822002963724}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A2), (A2,A3), (A0,A3)]>",{A1},"{A1=1, A2=0.0, A3=0.4713937532579140896859723024471337, A0=0.7071005917159763313609467455621302}","{A1,A0}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3), (A3,A0)]>",{A1},"{A1=1, A2=0.0, A3=0.4142114384748700173310225303292894, A0=0.7071005917159763313609467455621302}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A1,A0), (A3,A2)]>",{A1},"{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A3,A0), (A3,A2)]>",{A3},"{A1=0.0, A2=0.3966027002642897435332424513452045, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A1), (A1,A0)]>",{A3},"{A1=0.0, A2=0.0, A3=1, A0=0.7071065989847715736040609137055838}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A1), (A0,A3)]>",{A0},"{A1=0.5, A2=0.0, A3=0.4000069754464285714285714285714286, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A0), (A2,A2), (A0,A3)]>",{A1},"{A1=1, A2=0.0, A3=0.0, A0=0.7071065989847715736040609137055838}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3), (A3,A0), (A3,A2)]>",{A1},"{A1=1, A2=0.3966027002642897435332424513452045, A3=0.0, A0=0.6572828556541483710365865780084313}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0), (A3,A1), (A3,A2)]>",{A3},"{A1=0.0, A2=0.4142114384748700173310225303292894, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.0, A3=0.0, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3), (A0,A1)]>",{A0},"{A1=0.5, A2=0.0, A3=0.5000108991825613079019073569482289, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A0), (A2,A3), (A3,A2)]>",{A1},"{A1=1, A2=0.3966027002642897435332424513452045, A3=0.0, A0=0.7160129756483251049077295748212717}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3), (A0,A3), (A3,A2)]>",{A1},"{A1=1, A2=0.4044433912474041649907181957813631, A3=0.4724698667828403140285701404248553, A0=0.7120080640475986943065953870377047}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A0), (A2,A3), (A3,A2)]>",{A1},"{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=0.7071005917159763313609467455621302}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A0,A2)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.6909722222222222222222222222222222, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.6769143289112159462191656870579126, A3=0.6769143289112159462191656870579126, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A0,A2)]>",{},"{A1=0.6984646454461457617291838557022676, A2=0.4316731327573274140390653029005002, A3=0.6984646454461457617291838557022676, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A0,A1)]>",{},"{A1=0.0, A2=0.6769143289112159462191656870579126, A3=0.5963146366820401380843395819943585, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A2), (A3,A2)]>",{A0},"{A1=0.0, A2=0.3090128755364806866952789699570815, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2), (A0,A3)]>",{A0},"{A1=0.0, A2=0.3819742489270386266094420600858369, A3=0.3819742489270386266094420600858369, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A0,A2), (A0,A3)]>",{A0},"{A1=0.7320441988950276243093922651933701, A2=0.3660245183887915936952714535901926, A3=0.3660245183887915936952714535901926, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A2,A3), (A0,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.7472517585100292914518127074648380, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A2), (A3,A2)]>",{A0},"{A1=0.7807486631016042780748663101604278, A2=0.2807737397420867526377491207502931, A3=0.7807486631016042780748663101604278, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A3), (A0,A1)]>",{A0},"{A1=0.0, A2=0.7548630737833635051483261654113632, A3=0.5698252196050759111601166053402939, A0=1}","{A2,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A2), (A3,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A0), (A3,A2)]>",{A1},"{A1=1, A2=0.0, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819742489270386266094420600858369, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A1), (A3,A2)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.3090128755364806866952789699570815, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A2), (A0,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A0), (A0,A2)]>",{A1},"{A1=1, A2=0.0, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A2), (A3,A2)]>",{A0},"{A1=0.0, A2=0.2949706740821537596912475763206593, A3=0.7722348051167309031610697398212126, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A1), (A0,A1)]>",{A0},"{A1=0.0, A2=0.7548630737833635051483261654113632, A3=0.7548630737833635051483261654113632, A0=1}","{A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A2,A2), (A3,A2)]>",{A0},"{A1=0.7309781145099841409534974748401909, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A3,A2)]>",{A3},"{A1=0.7548819936996919779456237803925431, A2=0.0, A3=1, A0=0.0}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2), (A3,A2)]>",{A0},"{A1=0.0, A2=0.3090128755364806866952789699570815, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A2), (A3,A2)]>",{A1},"{A1=1, A2=0.3207207207207207207207207207207207, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A2), (A3,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A0 },[(A1,A1)]>",{A0},"{A1=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A2), (A0,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A3,A1), (A3,A2)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.0, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A2), (A2,A3), (A3,A2)]>",{A0},"{A1=0.7389738131084987693761007163779477, A2=0.0, A3=0.7389738131084987693761007163779477, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A2,A2), (A3,A2)]>",{A0},"{A1=0.7282525061596426556981828888799331, A2=0.0, A3=0.5786090863799407852495993259792405, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A3,A1), (A3,A2)]>",{A0},"{A1=0.5652048525506527493616001127189416, A2=0.2998997556490032279773346298571743, A3=0.7692990930869925952706620290800429, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2), (A3,A0)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A0), (A0,A2)]>",{},"{A1=0.0, A2=0.4316731327573274140390653029005002, A3=0.6180257510729613733905579399141631, A0=0.6984646454461457617291838557022676}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.3333333333333333333333333333333333, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0), (A3,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A1), (A0,A2)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.4472049689440993788819875776397515, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.3000000000000000000000000000000000, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A0), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.6909722222222222222222222222222222, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A0), (A0,A1)]>",{},"{A1=0.0, A2=0.6751238574013039762979094888372264, A3=0.6751238574013039762979094888372264, A0=0.5969624964888390165706500227199741}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A3), (A0,A2)]>",{},"{A1=0.7071129707112970711297071129707113, A2=0.4142259414225941422594142259414226, A3=0.7071129707112970711297071129707113, A0=0.7071129707112970711297071129707113}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A1), (A3,A0)]>",{},"{A1=0.0, A2=0.6776627531849703120756461831295133, A3=0.5960820531026173993333278535940973, A0=0.6265478652989987158486250317039472}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A3), (A3,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.4472049689440993788819875776397515}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.5944065774177619658804324781991853, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.6823178725614911278657787208368868}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A0,A1), (A3,A1)]>",{},"{A1=0.4524216962809781593474932578120673, A2=0.6884870087166038348982542642062308, A3=0.5922287863267053028921038968328586, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A0,A0), (A2,A3)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A3,A1)]>",{},"{A1=0.0, A2=0.6751471087073495732105949031353636, A3=0.5969817067384638035800567009073528, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A3,A2)]>",{},"{A1=0.0, A2=0.4316731327573274140390653029005002, A3=0.6984646454461457617291838557022676, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A2,A3), (A3,A1)]>",{},"{A1=0.6956304068817543298224696745205227, A2=0.5897626634832185047806221814126114, A3=0.4375731132760947779195982044282432, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A3,A2)]>",{},"{A1=0.7071129707112970711297071129707113, A2=0.4142259414225941422594142259414226, A3=0.7071129707112970711297071129707113, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A1), (A3,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.6823178725614911278657787208368868, A0=0.6823178725614911278657787208368868}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A2), (A1,A0)]>",{},"{A1=0.6956304068817543298224696745205227, A2=0.4375731132760947779195982044282432, A3=0.6956304068817543298224696745205227, A0=0.5897626634832185047806221814126114}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A3), (A0,A1)]>",{},"{A1=0.0, A2=0.6751471087073495732105949031353636, A3=0.5969817067384638035800567009073528, A0=0.5969817067384638035800567009073528}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A3), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.4472049689440993788819875776397515}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A3,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A0), (A0,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A1), (A0,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A1), (A0,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.6823178725614911278657787208368868, A2=0.5944065774177619658804324781991853, A3=0.5944065774177619658804324781991853, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A3,A1), (A1,A0)]>",{},"{A1=0.5919155344361353161704132084995381, A2=0.4504394311422131108338838924705838, A3=0.6894571932683874877999125351929746, A0=0.6281826308104169544788142498774451}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.0, A3=0.6769143289112159462191656870579126, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A1)]>",{},"{A1=0.4316731327573274140390653029005002, A2=0.6984646454461457617291838557022676, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3), (A0,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0), (A3,A2)]>",{},"{A1=0.0, A2=0.4472049689440993788819875776397515, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A2,A1), (A0,A0)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.6823178725614911278657787208368868, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A2,A3)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A0,A1)]>",{},"{A1=0.4316731327573274140390653029005002, A2=0.6984646454461457617291838557022676, A3=0.5887506031584106865902051734151920, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3), (A0,A3)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.4472049689440993788819875776397515}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1)]>",{},"{A1=0.0, A2=0.6823178725614911278657787208368868, A0=0.5944065774177619658804324781991853}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A1,A3), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819628647214854111405835543766578, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A3), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819628647214854111405835543766578, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A2,A3), (A0,A2)]>",{A0},"{A1=0.7320512820512820512820512820512821, A2=0.3660262891809908998988877654196158, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0), (A3,A1)]>",{A3},"{A1=0.3062302006335797254487856388595565, A2=0.7655701053976365378473331204088151, A3=1, A0=0.5}","{A2,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A1), (A3,A0), (A3,A1)]>",{A3},"{A1=0.0, A2=0.7403108150967332699016809387884555, A3=1, A0=0.5}","{A2,A3}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A0,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.4, A3=0.4, A0=0.5}",{A1}
